Year,Month,Day,Hour,Flow,CP,MK,BL,TGD,YC,HX,total_rainfall,runoff_depth
2012,4,16,1,4.55,0,0,0,0,0,0,0,0.030840662
2012,4,16,2,17.96,0,0,0,0,0,2,0.272478569,0.121735889
2012,4,16,3,17.1,0,0,0,1,0,18,2.583487254,0.115906665
2012,4,16,4,17.6,21,14,3,17.5,20,8.5,13.89136574,0.119295748
2012,4,16,5,20.8,0,1.5,12,0.5,1.5,0,2.449502652,0.140985884
2012,4,16,6,43.12,0,0,0,0,0,0,0,0.292274584
2012,4,16,7,47.38,0,0,0,0,0,0,0,0.321149577
2012,4,16,8,34.4,0,0,0,0,0,0,0,0.233168963
2012,4,16,9,20.99,0,0,0,0,0,0,0,0.142273736
2012,4,16,10,20.75,0,0,0,0,0,0,0,0.140646976
2012,4,16,11,23.77,0,0,0,0,0,0,0,0.161117042
2012,4,16,12,22.21,0,0,0,0,0,0,0,0.150543101
2012,4,16,13,20.39,0,0,0,0,0,0,0,0.138206836
2012,4,16,14,20.16,0,0,0,0,0,0,0,0.136647857
2012,4,16,15,21.32,0,0,0,0,0,0,0,0.144510532
2012,4,16,16,23.6,0,0,0,0,0,0,0,0.159964754
2012,4,16,17,23.6,28,3,3.5,4.5,1,0,8.470627941,0.159964754
2012,4,16,18,21.48,23,30.5,29,33.5,20,14,26.19565181,0.145595038
2012,4,16,19,65.64,8.5,0.5,2.16,0.5,1,4,3.0827554,0.444918916
2012,4,16,20,109.83,0,0,0.34,0,0,0,0.052688391,0.744446139
2012,4,16,21,109,0.5,0,0,0,0,0,0.114033254,0.73882026
2012,4,16,22,98.34,0,8,0.33,22,12,0.5,5.994747203,0.666564994
2012,4,16,23,206.2,0.75,1,0.67,2.08,9,1,1.419799423,1.397658143
2012,4,17,0,91.98,1.5,6,1,0.42,0.5,0,2.383882911,0.623455849
2012,4,17,1,170,2.25,1.07,0,25,9,0.33,4.59452887,1.152288479
2012,4,17,2,220,0,0.43,0,2,3.5,0.67,0.652181365,1.491196855
2012,4,17,3,230.46,0,0,0.5,0,0,0,0.077482927,1.562096487
2012,4,17,4,243.85,0.5,0,0,0,0,0.5,0.182152897,1.65285615
2012,4,17,5,122.2,0,0,0,0,0,0,0,0.828292071
2012,4,17,6,117,0,0.5,0.25,0,0,0,0.189373057,0.7930456
2012,4,17,7,107,0,3.5,0.5,1,0.33,0,1.279018277,0.725263925
2012,4,17,8,123.22,0.5,0,0.75,0,0.67,0.5,0.330728258,0.835205802
2012,4,17,9,92.1,0.5,0,0,0.5,0,1,0.315862607,0.624269229
2012,4,17,10,85.37,0,0,0,0,0,0,0,0.578652161
2012,4,17,11,54.07,0,0,0,0,0,0,0,0.366495518
2012,4,17,12,41.96,0,0,0,0,0,0,0,0.284411909
2012,4,17,13,55.7,2.5,3,1.5,3,3,1,2.381039394,0.377543931
2012,4,17,14,91.74,4.5,9,6,7.5,8.5,4,6.606694005,0.621829089
2012,4,17,15,109.47,1.5,3,3.5,1.91,2.5,1.5,2.363895375,0.742005999
2012,4,17,16,59,0,0.5,1,1.09,0,0,0.448583796,0.399911884
2012,4,17,17,34.4,0,0,0,0,0,0,0,0.233168963
2012,4,17,18,60.7,0.5,0,0,0,0,0,0.114033254,0.411434769
2012,4,17,19,60.7,1,3,3,0,1,0,1.645038664,0.411434769
2012,4,17,20,56.25,0,0,0,0,0,0,0,0.381271923
2012,4,17,21,53.11,0,0,0,0,0,0,0,0.359988477
2012,4,17,22,51.02,0,0,0,0,0,0,0,0.345822107
2012,4,17,23,49.77,0,0,0,0,0,0,0,0.337349398
2012,4,18,0,49.12,0.5,0,0,0,0,0,0.114033254,0.332943589
2012,4,18,1,48.85,0,0,0,0,0,0,0,0.331113483
2012,4,18,2,48.71,0,0,0,0,0,0,0,0.33016454
2012,4,18,3,48.39,0,0,0,0,0,0,0,0.327995526
2012,4,18,4,47,0,0,0,0,0,0,0,0.318573874
2012,4,18,5,44.57,0,0,0,0,0,0,0,0.302102926
2012,4,18,6,45.4,0,0,0,0,0,0,0,0.307728806
2012,4,18,7,47.28,0,0,0,0,0,0,0,0.32047176
2012,4,18,8,43.7,0,0,0,0,0,0,0,0.296205921
