Year,Month,Day,Hour,Flow,长坪,梅坑,板岭,潭公洞,岳城,黄磜,total_rainfall,runoff_depth
2013,8,15,21,50.1,3.5,2.5,1.17,1,0,0,1.863880934,0.339586193
2013,8,15,22,50.1,13,7.5,2.33,0,0,1.5,5.789767885,0.339586193
2013,8,15,23,75.2,2.18,0,4.5,3.5,0,0,1.653661811,0.509718198
2013,8,16,0,72.2,0.82,1,1.67,1.56,0.4,2,1.243504294,0.489383695
2013,8,16,1,64.31,3,2,1.33,1.44,0.8,0,1.720357906,0.435903953
2013,8,16,2,65.53,15.5,3,4,4,1.2,5,6.322542867,0.444173318
2013,8,16,3,43.98,25,14,3.5,3.5,1.6,5,11.67931077,0.298103808
2013,8,16,4,18.24,36.5,19,7.5,7.5,8,16,18.76063184,0.123633776
2013,8,16,5,50.11,19.5,24.5,8,8,3,8.5,15.42030193,0.339653975
2013,8,16,6,185.55,19,32.5,30.5,30.5,10,20.5,26.12752557,1.257688984
2013,8,16,7,517.07,4.5,6,28,28,22,22,14.90550105,3.504787081
2013,8,16,8,738,10,9.5,20.5,20.5,34,24,15.92009199,5.002287632
2013,8,16,9,830,11.5,12,9,9,13,16,11.62077094,5.625879044
2013,8,16,10,835.4,10.5,10,11.5,6.5,10.5,14,10.45645122,5.662481148
2013,8,16,11,784.57,4.5,6.5,8,8,4,8.5,6.624851963,5.317946893
2013,8,16,12,722.56,5.5,9,14,14,5.5,5.5,8.986662073,4.897632725
2013,8,16,13,670.26,7,13,8.5,8.5,15,12,10.30427476,4.543134564
2013,8,16,14,651,11.5,19.5,21.5,21.5,12.5,22,18.25036291,4.412587057
2013,8,16,15,679.53,5,6.5,6.5,6.5,5.5,16,7.403888409,4.605968177
2013,8,16,16,704.37,2.5,2.5,10.5,10.5,1.5,5,5.081481105,4.774337858
2013,8,16,17,691.79,9.5,4.5,7,7,7.5,11.5,7.4542276,4.68906851
2013,8,16,18,651,0,0,0,0,0.5,1.22,0.190354442,4.412587057
